7875;	-30;	-35;	-0,329;	-0,158;	1,018;	2;	0,001;	0,002;	-0,3286;	0,0195;	0,1381;	0,0186
8001;	-30;	-23;	-0,163;	-0,802;	1,057;	-1,9;	0,001;	0,002;	-0,1628;	-0,0009;	0,1109;	-0,0014
8129;	-40;	-17;	-0,049;	-0,786;	0,711;	-5,5;	0,001;	0,002;	-0,0488;	-0,0172;	0,1336;	-0,0176
8257;	-46;	-13;	-0,039;	-0,796;	0,703;	-8,3;	0,002;	0,002;	-0,0391;	-0,0277;	0,1511;	-0,0279
8385;	-50;	-8;	-0,025;	-0,851;	0,61;	-9,7;	0,002;	0,002;	-0,0254;	0,0118;	0,0607;	0,0114
8510;	-52;	-6;	-0,026;	-0,854;	0,59;	-5,9;	0,002;	0,002;	-0,0256;	0,0704;	0,0396;	0,0697
8631;	-53;	-4;	-0,016;	-0,853;	0,594;	-1,8;	0,002;	0,002;	-0,0156;	0,08;	0,0473;	0,0805
8753;	-54;	-2;	-0,012;	-0,848;	0,598;	1,9;	0,002;	0,003;	-0,0122;	0,1013;	0,0522;	0,1014
8874;	-54;	-1;	-0,022;	-0,851;	0,589;	4,5;	0,003;	0,003;	-0,022;	0,1072;	0,0565;	0,1073
8997;	-51;	-3;	-0,126;	-0,474;	0,939;	6,5;	0,003;	0,003;	-0,126;	0,0958;	0,045;	0,096
9118;	-44;	-23;	-0,014;	-1,338;	-0,292;	6,5;	0,003;	0,004;	-0,0139;	0,0702;	-0,0109;	0,0705
9245;	-26;	-23;	0,003;	0,783;	0,068;	1,3;	0,004;	0,003;	0,0032;	-0,0232;	0,0465;	-0,0147
9369;	-21;	-24;	-0,359;	-0,768;	1,105;	-3,3;	0,004;	0,003;	-0,3594;	-0,0547;	0,0746;	-0,0447
9494;	-14;	-5;	0,082;	-0,716;	1,276;	-5,5;	0,004;	0,003;	0,0818;	-0,0269;	-0,0231;	-0,0169
9620;	-25;	34;	0,722;	-0,5;	-0,399;	-2,8;	0,005;	0,003;	0,7219;	0,0522;	-0,0834;	0,0534
9745;	-21;	35;	0,471;	-0,231;	1;	5,5;	0,005;	0,004;	0,4707;	0,1923;	0,0073;	0,1601
9862;	-4;	35;	0,463;	0,306;	0,737;	17,5;	0,006;	0,005;	0,4629;	0,386;	-0,0919;	0,3168
9984;	-18;	28;	0,413;	-0,823;	0,822;	29,4;	0,006;	0,007;	0,4131;	0,4741;	-0,1606;	0,3876
